year,temp
1781,
1782,3.0
1783,2.3
1784,-0.41
1785,2.09
1786,1.49
1787,4.29
1788,3.19
1789,1.29
1790,3.69
1791,3.19
1792,1.09
1793,2.69
1794,3.29
1795,-0.11
1796,5.59
1797,3.34
1798,2.54
1799,1.64
1800,0.54
1801,2.44
1802,1.34
1803,1.34
1804,3.34
1805,2.24
1806,1.44
1807,2.84
1808,1.84
1809,-1.16
1810,2.44
1811,1.04
1812,1.94
1813,2.24
1814,-2.66
1815,0.84
1816,1.14
1817,3.64
1818,1.84
1819,2.54
1820,-0.86
1821,2.04
1822,3.94
1823,0.04
1824,4.34
1825,3.54
1826,1.44
1827,0.545
1828,4.12
1829,0.27
1830,0.62
1831,1.27
1832,3.27
1833,1.595
1834,4.945
1835,3.345
1836,3.145
1837,2.845
1838,-1.155
1839,2.045
1840,3.59
1841,0.99
1842,1.64
1843,4.04
1844,3.73
1845,3.48
1846,5.58
1847,2.11
1848,1.295
1849,3.495
1850,0.77
1851,5.755
1852,5.205
1853,4.971666666666667
1854,3.621666666666667
1855,2.3216666666666668
1856,3.157142857142857
1857,2.5142857142857142
1858,4.0
1859,4.628571428571428
1860,3.271428571428572
1861,2.1285714285714286
1862,4.241428571428572
1863,4.627142857142857
1864,2.8557142857142854
1865,2.2842857142857143
1866,5.312857142857143
1867,0.9985714285714287
1868,3.5985714285714283
1869,5.37
1870,3.21125
1871,0.6970000000000001
1872,4.473571428571429
1873,4.7664285714285715
1874,5.165
1875,5.5078571428571435
1876,3.1221428571428573
1877,4.969285714285714
1878,4.347142857142857
1879,-0.225
1880,1.78125
1881,-1.208125
1882,4.966875
1883,4.262941176470588
1884,5.851176470588236
1885,2.5394117647058825
1886,1.72875
1887,1.9961111111111112
1888,2.816111111111111
1889,2.8105555555555553
1890,4.8589473684210525
1891,1.0747368421052632
1892,1.6083333333333334
1893,1.636111111111111
1894,2.469
1895,-0.341
1896,4.188421052631579
1897,1.056842105263158
1898,5.872857142857144
1899,3.906190476190476
1900,3.668095238095238
1901,2.77
1902,3.7068421052631577
1903,3.049473684210527
1904,3.7844444444444445
1905,3.5772222222222223
1906,4.705
1907,3.3229411764705885
1908,2.4111764705882353
1909,3.1205882352941177
1910,3.0652941176470585
1911,3.751764705882353
1912,3.165882352941176
1913,3.6894117647058824
1914,3.3952941176470586
1915,3.6070588235294117
1916,6.909411764705883
1917,1.5270588235294118
1918,3.194375
1919,2.5540000000000003
1920,4.438823529411764
1921,6.419411764705883
1922,3.1388235294117646
1923,5.42
1924,4.12
1925,4.878823529411765
1926,4.161176470588235
1927,4.225882352941176
1928,4.543529411764706
1929,1.42
1930,4.943529411764706
1931,3.0435294117647063
1932,5.884705882352941
1933,2.2311764705882355
1934,4.248823529411765
1935,4.472352941176471
1936,3.107647058823529
1937,4.595882352941176
1938,5.254705882352941
1939,3.5958823529411763
1940,-1.045294117647059
1941,0.21941176470588236
1942,0.9370588235294117
1943,4.166470588235294
1944,5.625294117647059
1945,0.378235294117647
1946,2.778235294117647
1947,2.054705882352941
1948,4.492941176470588
1949,4.923076923076923
1950,4.125
1951,3.328235294117647
1952,2.251764705882353
1953,3.7047058823529415
1954,2.9164705882352937
1955,2.257647058823529
1956,3.0694117647058823
1957,5.2164705882352935
1958,2.9823529411764707
1959,1.388235294117647
1960,3.7047058823529415
1961,3.1870588235294117
1962,4.069411764705882
1963,-1.55
1964,3.4205882352941175
1965,3.065
1966,2.496470588235294
1967,4.114117647058824
1968,4.002352941176471
1969,4.982666666666667
1970,3.6914285714285717
1971,4.577142857142857
1972,3.892
1973,4.61
1974,5.88
1975,6.446666666666666
1976,5.445
1977,2.695
1978,2.975
1979,0.5
1980,2.4
1981,3.8
